Sub-Event Matches
German Open Bayreuth 2001


Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner

2001	German Open Bayreuth 2001	FETH Stefan (GER)		CIOCIU Traian (LUX)		MS	Qualification	12	4 - 2	9:11 11:9 11:6 11:6 10:12 11:5	FETH Stefan	
2001	German Open Bayreuth 2001	FILIMON Andrei (ROU)		VLOTINOS Ioannis (GRE)		MS	Qualification	12	0 - 4	5:11 8:11 3:11 8:11	VLOTINOS Ioannis	
2001	German Open Bayreuth 2001	KUZMIN Fedor (RUS)		SUSS Christian (GER)		MS	Qualification	12	4 - 2	11:9 7:11 11:5 10:12 11:4 11:7	KUZMIN Fedor	
2001	German Open Bayreuth 2001	GARDOS Robert (AUT)		LINDNER Adam (HUN)		MS	Qualification	12	3 - 4	5:11 11:5 11:7 9:11 7:11 11:7 4:11	LINDNER Adam	
2001	German Open Bayreuth 2001	GIONIS Panagiotis (GRE)		CABESTANY Cedrik (FRA)		MS	Qualification	12	4 - 1	11:4 15:13 11:7 7:11 11:9	GIONIS Panagiotis	
2001	German Open Bayreuth 2001	DZIUBANSKI Michal (POL)		KEINATH Thomas (SVK)		MS	Qualification	12	4 - 1	11:9 11:9 3:11 11:8 12:10	DZIUBANSKI Michal	
2001	German Open Bayreuth 2001	SAMSONOV Vladimir (BLR)		ZWICKL Daniel (HUN)		MS	Main Draw	R64	4 - 0	12:10 11:8 11:5 11:4	SAMSONOV Vladimir	
2001	German Open Bayreuth 2001	VARIN Eric (FRA)		GRUJIC Slobodan (SRB)		MS	Main Draw	R64	4 - 2	11:6 6:11 11:7 10:12 12:10 11:7	VARIN Eric	
2001	German Open Bayreuth 2001	FRANZ Peter (GER)		PODPINKA Andras (BEL)		MS	Main Draw	R64	4 - 1	11:6 11:7 11:8 9:11 13:11	FRANZ Peter	
2001	German Open Bayreuth 2001	SHMYREV Maxim (RUS)		HEISTER Danny (NED)		MS	Main Draw	R64	4 - 2	11:13 11:4 11:8 11:9 11:13 11:9	SHMYREV Maxim	
2001	German Open Bayreuth 2001	OH Sangeun (KOR)		JIANG Weizhong (CRO)		MS	Main Draw	R64	4 - 1	11:9 11:3 11:6 7:11 11:9	OH Sangeun	
2001	German Open Bayreuth 2001	KUZMIN Fedor (RUS)		YANG Min (ITA)		MS	Main Draw	R64	4 - 3	13:11 11:9 4:11 4:11 11:8 5:11 11:2	KUZMIN Fedor	
2001	German Open Bayreuth 2001	HAKANSSON Fredrik (SWE)		SMIRNOV Alexey (RUS)		MS	Main Draw	R64	0 - 4	5:11 4:11 12:14 9:11	SMIRNOV Alexey	
2001	German Open Bayreuth 2001	YOON Jaeyoung (KOR)		ROSSKOPF Jorg (GER)		MS	Main Draw	R64	2 - 4	5:11 12:10 9:11 5:11 14:12 7:11	ROSSKOPF Jorg	
2001	German Open Bayreuth 2001	KORBEL Petr (CZE)		LUNDQVIST Jens (SWE)		MS	Main Draw	R64	4 - 0	11:9 11:5 11:9 12:10	KORBEL Petr	
2001	German Open Bayreuth 2001	KUSINSKI Marcin (POL)		JOO Saehyuk (KOR)		MS	Main Draw	R64	4 - 2	11:7 2:11 11:7 5:11 11:9 11:6	KUSINSKI Marcin	
2001	German Open Bayreuth 2001	KARAKASEVIC Aleksandar (SRB)		VLOTINOS Ioannis (GRE)		MS	Main Draw	R64	4 - 2	5:11 11:5 6:11 11:7 11:5 11:6	KARAKASEVIC Aleksandar	
2001	German Open Bayreuth 2001	TSIOKAS Ntaniel (GRE)		BOLL Timo (GER)		MS	Main Draw	R64	1 - 4	3:11 11:9 9:11 9:11 8:11	BOLL Timo	
2001	German Open Bayreuth 2001	CHUANG Chih-Yuan (TPE)		TOSIC Roko (CRO)		MS	Main Draw	R64	4 - 0	11:6 11:4 12:10 11:4	CHUANG Chih-Yuan	
2001	German Open Bayreuth 2001	DZIUBANSKI Michal (POL)		KIM Gunhwan (KOR)		MS	Main Draw	R64	3 - 4	10:12 11:9 14:12 11:8 5:11 7:11 11:13	KIM Gunhwan	
2001	German Open Bayreuth 2001	LEE Chulseung (KOR)		KRZESZEWSKI Tomasz (POL)		MS	Main Draw	R64	3 - 4	11:8 8:11 7:11 4:11 11:5 14:12 7:11	KRZESZEWSKI Tomasz	
2001	German Open Bayreuth 2001	VOZICKY Bohumil (CZE)		WALDNER Jan-Ove (SWE)		MS	Main Draw	R64	0 - 4	8:11 4:11 8:11 4:11	WALDNER Jan-Ove	
2001	German Open Bayreuth 2001	SCHLAGER Werner (AUT)		FETH Stefan (GER)		MS	Main Draw	R64	4 - 1	11:5 6:11 11:4 11:6 11:7	SCHLAGER Werner	
2001	German Open Bayreuth 2001	GIONIS Panagiotis (GRE)		RYU Seungmin (KOR)		MS	Main Draw	R64	1 - 4	5:11 11:13 11:8 4:11 7:11	RYU Seungmin	
2001	German Open Bayreuth 2001	SAIVE Philippe (BEL)		CABESTANY Cedrik (FRA)		MS	Main Draw	R64	4 - 2	9:11 11:5 12:10 11:4 6:11 11:4	SAIVE Philippe	
2001	German Open Bayreuth 2001	FEJER-KONNERTH Zoltan (GER)		LEGOUT Christophe (FRA)		MS	Main Draw	R64	4 - 2	11:9 7:11 11:8 6:11 11:7 11:9	FEJER-KONNERTH Zoltan	
2001	German Open Bayreuth 2001	CHILA Patrick (FRA)		MONDELLO Massimiliano (ITA)		MS	Main Draw	R64	4 - 3	11:4 11:6 11:13 11:9 8:11 10:12 11:6	CHILA Patrick	
2001	German Open Bayreuth 2001	HIELSCHER Lars (GER)		ELOI Damien (FRA)		MS	Main Draw	R64	1 - 4	8:11 11:6 9:11 7:11 7:11	ELOI Damien	
2001	German Open Bayreuth 2001	BENTSEN Allan (DEN)		PIACENTINI Valentino (ITA)		MS	Main Draw	R64	4 - 0	11:9 11:3 11:8 11:8	BENTSEN Allan	
2001	German Open Bayreuth 2001	TRUKSA Jaromir (SVK)		MA Wenge (CHN)		MS	Main Draw	R64	2 - 4	7:11 7:11 12:14 11:5 11:6 8:11	MA Wenge	
2001	German Open Bayreuth 2001	PERSSON Jorgen (SWE)		CIOTI Constantin (ROU)		MS	Main Draw	R64	4 - 1	11:9 11:6 7:11 11:2 11:8	PERSSON Jorgen	
2001	German Open Bayreuth 2001	BRATANOV Martin (BEL)		CRISAN Adrian (ROU)		MS	Main Draw	R64	4 - 2	13:11 12:10 7:11 11:5 10:12 11:8	BRATANOV Martin	
2001	German Open Bayreuth 2001	CHEN Weixing (AUT)		CHTCHETININE Evgueni (BLR)		MS	Main Draw	R64	4 - 0	11:5 11:8 11:5 11:9	CHEN Weixing	
2001	German Open Bayreuth 2001	LINDNER Adam (HUN)		KREANGA Kalinikos (GRE)		MS	Main Draw	R64	0 - 4	4:11 6:11 6:11 12:14	KREANGA Kalinikos	
