Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	TUGWELL Finn (DEN)		CABESTANY Cedrik (FRA)		MS	Qualification		2 - 4	12:14 13:11 10:12 13:11 5:11 9:11	CABESTANY Cedrik	
2001	Swedish Open Skovde 2001	RODRIGUEZ Alejandro (CHI)		MOLDOVAN Istvan (NOR)		MS	Qualification		0 - 4	7:11 9:11 5:11 8:11	MOLDOVAN Istvan	
2001	Swedish Open Skovde 2001	RODRIGUEZ Alejandro (CHI)		ROBERTSON Adam (WAL)		MS	Qualification		2 - 4	13:11 8:11 7:11 6:11 11:7 9:11	ROBERTSON Adam	
2001	Swedish Open Skovde 2001	RODRIGUEZ Alejandro (CHI)		KUZMIN Fedor (RUS)		MS	Qualification		0 - 4	2:11 9:11 6:11 8:11	KUZMIN Fedor	
2001	Swedish Open Skovde 2001	MOLDOVAN Istvan (NOR)		ROBERTSON Adam (WAL)		MS	Qualification		4 - 1	10:12 11:1 11:2 11:9 11:5	MOLDOVAN Istvan	
2001	Swedish Open Skovde 2001	MOLDOVAN Istvan (NOR)		KUZMIN Fedor (RUS)		MS	Qualification		0 - 4	6:11 3:11 5:11 10:12	KUZMIN Fedor	
2001	Swedish Open Skovde 2001	ROBERTSON Adam (WAL)		KUZMIN Fedor (RUS)		MS	Qualification		0 - 4	6:11 7:11 6:11 6:11	KUZMIN Fedor	
2001	Swedish Open Skovde 2001	SALAMANCA Juan (CHI)		GARDOS Robert (AUT)		MS	Qualification		0 - 4	4:11 8:11 5:11 7:11	GARDOS Robert	
2001	Swedish Open Skovde 2001	SALAMANCA Juan (CHI)		WAHLGREN Magnus (SWE)		MS	Qualification		0 - 4	9:11 9:11 7:11 3:11	WAHLGREN Magnus	
2001	Swedish Open Skovde 2001	SALAMANCA Juan (CHI)		HENZELL William (AUS)		MS	Qualification		4 - 3	11:9 12:10 10:12 11:9 7:11 7:11 11:6	SALAMANCA Juan	
2001	Swedish Open Skovde 2001	GARDOS Robert (AUT)		WAHLGREN Magnus (SWE)		MS	Qualification		4 - 3	11:7 9:11 11:13 10:12 11:6 11:6 11:5	GARDOS Robert	
2001	Swedish Open Skovde 2001	GARDOS Robert (AUT)		HENZELL William (AUS)		MS	Qualification		4 - 1	11:9 13:11 13:11 6:11 11:9	GARDOS Robert	
2001	Swedish Open Skovde 2001	WAHLGREN Magnus (SWE)		HENZELL William (AUS)		MS	Qualification		4 - 3	11:8 11:6 11:13 3:11 13:11 11:13 11:4	WAHLGREN Magnus	
2001	Swedish Open Skovde 2001	PAPIC Juan (CHI)		LARSEN Glen (NOR)		MS	Qualification		2 - 4	12:10 11:8 6:11 8:11 9:11 5:11	LARSEN Glen	
2001	Swedish Open Skovde 2001	PAPIC Juan (CHI)		KLASEK Marek (CZE)		MS	Qualification		0 - 4	5:11 9:11 5:11 7:11	KLASEK Marek	
2001	Swedish Open Skovde 2001	PAPIC Juan (CHI)		MARTINEZ Michel (FRA)		MS	Qualification		1 - 4	4:11 11:9 10:12 3:11 5:11	MARTINEZ Michel	
2001	Swedish Open Skovde 2001	LARSEN Glen (NOR)		KLASEK Marek (CZE)		MS	Qualification		1 - 4	11:9 4:11 8:11 3:11 0:11	KLASEK Marek	
2001	Swedish Open Skovde 2001	LARSEN Glen (NOR)		MARTINEZ Michel (FRA)		MS	Qualification		2 - 4	10:12 11:9 3:11 11:4 9:11 4:11	MARTINEZ Michel	
2001	Swedish Open Skovde 2001	KLASEK Marek (CZE)		MARTINEZ Michel (FRA)		MS	Qualification		4 - 2	12:10 11:7 10:12 12:10 8:11 11:9	KLASEK Marek	
2001	Swedish Open Skovde 2001	MIRAULT Cedric (FRA)		MITAMURA Muneaki (JPN)		MS	Qualification		0 - 4	9:11 9:11 8:11 8:11	MITAMURA Muneaki	
2001	Swedish Open Skovde 2001	MIRAULT Cedric (FRA)		ASAMOAH Cyprian (SWE)		MS	Qualification		4 - 3	9:11 11:4 11:9 4:11 11:6 10:12 11:6	MIRAULT Cedric	
2001	Swedish Open Skovde 2001	MIRAULT Cedric (FRA)		KELLER Raphael (SUI)		MS	Qualification		4 - 0	11:6 11:9 11:2 11:8	MIRAULT Cedric	
2001	Swedish Open Skovde 2001	MITAMURA Muneaki (JPN)		ASAMOAH Cyprian (SWE)		MS	Qualification		4 - 3	6:11 11:3 11:6 11:7 11:13 11:13 11:9	MITAMURA Muneaki	
2001	Swedish Open Skovde 2001	MITAMURA Muneaki (JPN)		KELLER Raphael (SUI)		MS	Qualification		4 - 2	11:8 7:11 11:7 7:11 11:5 11:7	MITAMURA Muneaki	
2001	Swedish Open Skovde 2001	ASAMOAH Cyprian (SWE)		KELLER Raphael (SUI)		MS	Qualification		4 - 1	11:9 11:7 7:11 11:8 11:9	ASAMOAH Cyprian	
2001	Swedish Open Skovde 2001	LUNDQVIST Jens (SWE)		MITAMURA Muneaki (JPN)		MS	Qualification	QR16	4 - 1	11:8 11:7 11:13 11:5 15:13	LUNDQVIST Jens	
2001	Swedish Open Skovde 2001	MONRAD Martin (DEN)		KLASEK Marek (CZE)		MS	Qualification	QR16	1 - 4	11:8 10:12 8:11 4:11 7:11	KLASEK Marek	
2001	Swedish Open Skovde 2001	GARDOS Robert (AUT)		YOON Jaeyoung (KOR)		MS	Qualification	QR16	4 - 3	11:13 11:3 11:5 9:11 1:11 11:9 11:9	GARDOS Robert	
2001	Swedish Open Skovde 2001	WANG Jianfeng (NOR)		KUZMIN Fedor (RUS)		MS	Qualification	QR16	4 - 2	11:13 11:9 9:11 11:7 12:10 11:6	WANG Jianfeng	
2001	Swedish Open Skovde 2001	ERLANDSEN Geir (NOR)		CABESTANY Cedrik (FRA)		MS	Qualification	QR16	3 - 4	13:11 9:11 6:11 11:7 11:13 13:11 9:11	CABESTANY Cedrik	
2001	Swedish Open Skovde 2001	LIU Heng (CHN)		HOREJSI Miroslav (CZE)		MS	Qualification	QR16	4 - 2	11:6 7:11 14:12 11:3 8:11 11:9	LIU Heng	
2001	Swedish Open Skovde 2001	MAZE Michael (DEN)		LEGOUT Christophe (FRA)		MS	Main Draw	R64	3 - 4	6:11 5:11 9:11 11:9 11:3 12:10 10:12	LEGOUT Christophe	
2001	Swedish Open Skovde 2001	ELOI Damien (FRA)		PAVELKA Tomas (CZE)		MS	Main Draw	R64	4 - 0	11:3 11:7 11:4 11:6	ELOI Damien	
2001	Swedish Open Skovde 2001	KO Lai Chak (HKG)		WOSIK Torben (GER)		MS	Main Draw	R64	4 - 3	13:11 11:3 4:11 5:11 7:11 11:4 11:7	KO Lai Chak	
2001	Swedish Open Skovde 2001	LEE Chulseung (KOR)		LIU Heng (CHN)		MS	Main Draw	R64	1 - 4	7:11 5:11 11:5 9:11 9:11	LIU Heng	
2001	Swedish Open Skovde 2001	JONG Kyong Chol (PRK)		YAN Sen (CHN)		MS	Main Draw	R64	3 - 4	7:11 11:8 11:5 11:5 4:11 6:11 8:11	YAN Sen	
2001	Swedish Open Skovde 2001	SAIVE Philippe (BEL)		NILSSON Stefan (SWE)		MS	Main Draw	R64	4 - 2	12:10 11:8 11:8 4:11 6:11 11:7	SAIVE Philippe	
2001	Swedish Open Skovde 2001	WANG Jianfeng (NOR)		KEEN Trinko (NED)		MS	Main Draw	R64	2 - 4	8:11 10:12 7:11 11:9 11:6 9:11	KEEN Trinko	
2001	Swedish Open Skovde 2001	CHEN Weixing (AUT)		LI Ching (HKG)		MS	Main Draw	R64	4 - 3	6:11 9:11 11:7 11:9 9:11 11:9 11:2	CHEN Weixing	
2001	Swedish Open Skovde 2001	KUSINSKI Marcin (POL)		HEISTER Danny (NED)		MS	Main Draw	R64	1 - 4	6:11 9:11 13:11 9:11 4:11	HEISTER Danny	
2001	Swedish Open Skovde 2001	KRZESZEWSKI Tomasz (POL)		LUNDQVIST Jens (SWE)		MS	Main Draw	R64	4 - 2	11:8 8:11 10:12 11:7 12:10 11:5	KRZESZEWSKI Tomasz	
2001	Swedish Open Skovde 2001	KLASEK Marek (CZE)		HAKANSSON Fredrik (SWE)		MS	Main Draw	R64	0 - 4	4:11 8:11 9:11 9:11	HAKANSSON Fredrik	
2001	Swedish Open Skovde 2001	KARLSSON Peter (SWE)		LEUNG Chu Yan (HKG)		MS	Main Draw	R64	2 - 4	9:11 12:10 7:11 11:6 8:11 8:11	LEUNG Chu Yan	
2001	Swedish Open Skovde 2001	CABESTANY Cedrik (FRA)		RYU Seungmin (KOR)		MS	Main Draw	R64	1 - 4	8:11 6:11 3:11 11:6 7:11	RYU Seungmin	
2001	Swedish Open Skovde 2001	CHEUNG Yuk (HKG)		GARDOS Robert (AUT)		MS	Main Draw	R64	4 - 2	12:10 11:8 6:11 9:11 11:8 12:10	CHEUNG Yuk	
