2002	Women's World Cup Singapore 2002	ITTF World Cup	--	32	2002-08-30	2002-09-01

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
Display #


100
Total: 32

2002	Women's World Cup Singapore 2002	ZHANG Yining (CHN)		TIE Yana (HKG)		WS	Qualification		4 - 0	11:4 11:7 11:7 11:8	ZHANG Yining	
2002	Women's World Cup Singapore 2002	LI Jiawei (SGP)		SCHOPP Jie (GER)		WS	Qualification	QR2	4 - 2	11:7 11:6 11:13 7:11 13:11 11:9	LI Jiawei	
2002	Women's World Cup Singapore 2002	ZHANG Yining (CHN)		LI Jiawei (SGP)		WS	Qualification	3	4 - 1	11:2 11:6 4:11 11:6 11:3	ZHANG Yining	
2002	Women's World Cup Singapore 2002	TIE Yana (HKG)		SCHOPP Jie (GER)		WS	Qualification	QR4	3 - 4	9:11 8:11 11:8 8:11 11:6 11:6 8:11	SCHOPP Jie	
2002	Women's World Cup Singapore 2002	ZHANG Yining (CHN)		SCHOPP Jie (GER)		WS	Qualification	5	4 - 2	11:5 11:13 11:6 11:8 13:15 11:4	ZHANG Yining	
2002	Women's World Cup Singapore 2002	LI Jiawei (SGP)		TIE Yana (HKG)		WS	Qualification	6	2 - 4	10:12 11:5 5:11 11:4 10:12 6:11	TIE Yana	
2002	Women's World Cup Singapore 2002	BOROS Tamara (CRO)		JING Junhong (SGP)		WS	Qualification		4 - 0	11:7 11:3 11:5 11:4	BOROS Tamara	
2002	Women's World Cup Singapore 2002	LI Nan (CHN)		GAO Jun (USA)		WS	Qualification	QR2	4 - 1	11:9 9:11 11:4 11:6 14:12	LI Nan	
2002	Women's World Cup Singapore 2002	BOROS Tamara (CRO)		LI Nan (CHN)		WS	Qualification	3	4 - 2	12:10 4:11 6:11 11:9 11:7 11:8	BOROS Tamara	
2002	Women's World Cup Singapore 2002	JING Junhong (SGP)		GAO Jun (USA)		WS	Qualification	QR4	2 - 4	13:11 9:11 9:11 9:11 11:4 10:12	GAO Jun	
2002	Women's World Cup Singapore 2002	BOROS Tamara (CRO)		GAO Jun (USA)		WS	Qualification	5	3 - 4	8:11 11:9 11:1 8:11 11:8 7:11 7:11	GAO Jun	
2002	Women's World Cup Singapore 2002	LI Nan (CHN)		JING Junhong (SGP)		WS	Qualification	6	4 - 0	11:8 11:6 11:7 11:7	LI Nan	
2002	Women's World Cup Singapore 2002	NIU Jianfeng (CHN)		TOTH Krisztina (HUN)		WS	Qualification		4 - 1	11:6 12:10 11:7 6:11 11:3	NIU Jianfeng	
2002	Women's World Cup Singapore 2002	STEFF Mihaela (ROU)		RODRIGUEZ Berta (CHI)		WS	Qualification	QR2	4 - 0	11:4 11:1 11:4 11:8	STEFF Mihaela	
2002	Women's World Cup Singapore 2002	NIU Jianfeng (CHN)		STEFF Mihaela (ROU)		WS	Qualification	3	4 - 2	11:7 10:12 11:2 11:6 5:11 11:8	NIU Jianfeng	
2002	Women's World Cup Singapore 2002	TOTH Krisztina (HUN)		RODRIGUEZ Berta (CHI)		WS	Qualification	QR4	4 - 1	7:11 11:2 11:5 11:5 11:3	TOTH Krisztina	
2002	Women's World Cup Singapore 2002	NIU Jianfeng (CHN)		RODRIGUEZ Berta (CHI)		WS	Qualification	5	4 - 0	11:2 11:7 11:3 11:4	NIU Jianfeng	
