Team	Player	WR(#)	M	W	L	W/L %
CHN	Player ImageWANG Chuqin	1	9	20	5	80
CHN	Player ImageSUN Yingsha	1	9	21	4	84
CHN	Player ImageWANG Manyu	2	7	21	-	100
CHN	Player ImageLIN Shidong	6	11	27	4	87.1
CHN	Player ImageKUAI Man	7	5	13	2	86.7
CHN	Player ImageWANG Yidi	8	3	7	-	100
KOR	Player ImageJANG Woojin	9	4	10	2	83.3
KOR	Player ImageSHIN Yubin	10	13	22	12	64.7
CHN	Player ImageLIANG Jingkun	21	3	6	2	75
KOR	Player ImageAN Jaehyun	22	6	14	4	77.8
ROU	Player ImageBernadette SZOCS	26	15	22	19	53.7
FRA	Player ImageThibault PORET	26	9	12	13	48
KOR	Player ImageOH Junsung	30	6	6	7	46.2
KOR	Player ImageKIM Nayeong	31	8	14	10	58.3
SGP	Player ImageZENG Jian	34	3	6	3	66.7
AUS	Player ImageNicholas LUM	34	4	7	5	58.3
HKG	Player ImageDOO Hoi Kem	35	18	34	15	69.4
JPN	Player ImageYuta TANAKA	37	11	19	12	61.3
SWE	Player ImageKristian KARLSSON	38	4	6	5	54.5
JPN	Player ImageKaho AKAE	38	11	17	14	54.8
IND	Player ImageManav THAKKAR	39	-	-	-	
ROU	Player ImageEduard IONESCU	41	14	21	15	58.3
ROU	Player ImageElizabeta SAMARA	44	9	11	14	44
AUS	Player ImageFinn LUU	46	5	5	10	33.3
HKG	Player ImageWONG Chun Ting	50	17	27	20	57.4
IND	Player ImageManush SHAH	51	-	-	-	
TPE	Player ImageLI Yu-Jhun	52	-	-	-	
ROU	Player ImageAndreea DRAGOMAN	57	4	4	6	40
POL	Player ImageMilosz REDZIMSKI	57	1	1	2	33.3
POL	Player ImageNatalia BAJOR	59	5	6	8	42.9
KOR	Player ImageCHO Daeseong	60	16	30	14	68.2
IND	Player ImageYashaswini GHORPADE	61	4	4	7	36.4
JPN	Player ImageRyoichi YOSHIYAMA	62	-	-	-	
SWE	Player ImageLinda BERGSTROM	67	5	10	4	71.4
AUS	Player ImageConstantina PSIHOGIOS	72	4	5	6	45.5
HKG	Player ImageCHAN Baldwin	75	4	2	7	22.2
AUS	Player ImageHwan BAE	79	1	-	2	0
TPE	Player ImageKUO Guan-Hong	83	2	3	3	50
FRA	Player ImageJules ROLLAND	85	4	3	8	27.3
USA	Player ImageSally MOYLAND	86	10	11	18	37.9
FRA	Player ImageCamille LUTZ	87	14	19	21	47.5
USA	Player ImageJessica REYES LAI	90	6	2	15	11.8
SWE	Player ImageChristina KALLBERG	92	5	5	9	35.7
JPN	Player ImageAsuka SASAO	94	8	10	8	55.6
HKG	Player ImageLAM Siu Hang	95	2	1	5	16.7
HKG	Player ImageNG Wing Lam	96	18	25	24	51
IND	Player ImageSnehit SURAVAJJULA	97	5	5	8	38.5
POL	Player ImageKatarzyna WEGRZYN	99	4	5	6	45.5
SGP	Player ImageSER Lin Qian	100	4	4	8	33.3
GER	Player ImageYuan WAN	102	14	21	18	53.8
GER	Player ImageKay STUMPER	104	10	13	13	50
JPN	Player ImageRyuusei KAWAKAMI	110	4	4	7	36.4
CAN	Player ImageEugene WANG	111	2	-	5	0
FRA	Player ImageAudrey ZARIF	113	12	13	21	38.2
GER	Player ImageCedric MEISSNER	118	5	4	9	30.8
CHN	Player ImageLIN Gaoyuan	119	1	3	-	100
CAN	Player ImageEdward LY	122	3	2	7	22.2
EGY	Player ImageMarwa ALHODABY	123	2	2	4	33.3
SWE	Player ImageFilippa BERGAND	124	-	-	-	
JPN	Player ImageRin MENDE	125	4	6	6	50
ROU	Player ImageDarius MOVILEANU	128	5	4	5	44.4
USA	Player ImageSid NARESH	131	6	7	10	41.2
SGP	Player ImageQUEK Izaac	135	4	2	9	18.2
TPE	Player ImageHUNG Jing-Kai	138	2	2	4	33.3
ROU	Player ImageAdina DIACONU	145	4	6	6	50
ROU	Player ImageOvidiu IONESCU	153	8	10	14	41.7
USA	Player ImageNandan NARESH	156	6	4	12	25
GER	Player ImageFranziska SCHREINER	158	10	21	8	72.4
FRA	Player ImageEsteban DORR	164	11	15	16	48.4
SGP	Player ImagePANG Koen	168	5	5	8	38.5
ROU	Player ImageAndrei ISTRATE	170	3	4	5	44.4
IND	Player ImageSayali WANI	178	-	-	-	
GER	Player ImageFanbo MENG	180	11	16	12	57.1
TPE	Player ImageHUANG Yu-Chiao	180	4	5	7	41.7
POL	Player ImageMateusz ZALEWSKI	181	3	3	5	37.5
EGY	Player ImageBadr MOSTAFA	188	2	2	4	33.3
SGP	Player ImageLOY Ming Ying	188	-	-	-	
USA	Player ImageJishan LIANG	190	6	6	10	37.5
HKG	Player ImageYIU Kwan To	193	13	20	17	54.1
SGP	Player ImageCHUA Josh	200	-	-	-	
TPE	Player ImageHUANG Yan-Cheng	211	5	7	8	46.7
HKG	Player ImageWONG Hoi Tung	215	1	1	-	100
EGY	Player ImageHend FATHY	220	3	1	8	11.1
HKG	Player ImageLEE Hoi Man	244	1	1	-	100
GER	Player ImageSophia KLEE	245	4	3	7	30
USA	Player ImageXiangjing ZHANG	246	6	5	12	29.4
EGY	Player ImageAlaa YEHIA	261	3	1	8	11.1
IND	Player ImagePoymantee BAISYA	284	1	1	2	33.3
SGP	Player ImageCHEW Clarence	317	1	-	3	0
POL	Player ImageNatalia BOGDANOWICZ	346	1	-	3	0
JPN	Player ImageKeishi HAGIHARA	352	13	24	13	64.9
TPE	Player ImageCHENG Hsien-Tzu	386	2	-	6	0
IND	Player ImagePritha VARTIKAR	399	3	3	5	37.5
POL	Player ImageMarcel BLASZCZYK	447	2	1	5	16.7
CAN	Player ImageNatalie CHAN	503	1	-	3	0
USA	Player ImageKayla GOODWIN	532	3	-	9	0
CAN	Player ImageIvy LIAO	539	3	1	6	14.3
SWE	Player ImageIsak ALFREDSSON	543	-	-	-	
FRA	Player ImageClea DE STOPPELEIRE	545	2	1	5	16.7
USA	Player ImageTiffany KE	666	5	5	10	33.3
EGY	Player ImageMohamed AZZAM	-	3	3	6	33.3
EGY	Player ImageMarwan GAMAL	-	3	2	7	22.2
SWE	Player ImageAnders ERIKSSON	-	4	4	8	33.3
IND	Player ImageJeet CHANDRA	-	5	4	10	28.6
JPN	Player ImageSakura MORI	-	3	2	3	40
CAN	Player ImageJeremy HAZIN	-	1	-	3	0
CAN	Player ImageJessie XU	-	4	-	10	0
SGP	Player ImageZHOU Jingyi	-	1	-	3	0
TPE	Player ImageLI Yan Jun	-	1	1	2	33.3
TPE	Player ImageWANG Yi-Ju	-	2	2	4	33.3
KOR	Player ImageSUH Hyo Won	-	3	6	3	66.7
KOR	Player ImageJEON Jihee	-	6	10	3	76.9
AUS	Player ImageJian Fang LAY	-	5	4	10	28.6
AUS	Player ImageMelissa TAPPER	-	1	-	3	0
